visited_datehours,candidates,hash_uid,test_pid,visited_pids
"['2017-12-23 05', '2017-12-24 15', '2017-12-24 16', '2017-12-24 16', '2017-12-24 20', '2017-12-25 12', '2017-12-25 12', '2017-12-25 12', '2017-12-25 15', '2017-12-25 21', '2017-12-25 22', '2017-12-25 23', '2017-12-26 14', '2017-12-28 11', '2017-12-28 11', '2017-12-28 11', '2017-12-28 11', '2017-12-28 13', '2017-12-28 15', '2017-12-28 17', '2017-12-29 12', '2017-12-29 12', '2017-12-29 12', '2017-12-29 12', '2017-12-29 23', '2017-12-30 02', '2017-12-30 18', '2017-12-30 18', '2017-12-30 19', '2017-12-30 19', '2017-12-30 22', '2017-12-31 13', '2017-12-31 13', '2017-12-31 15', '2017-12-31 16', '2018-01-01 00', '2018-01-01 00', '2018-01-01 00', '2018-01-01 08', '2018-01-01 08', '2018-01-01 09', '2018-01-01 16', '2018-01-02 19', '2018-01-02 21', '2018-01-03 00', '2018-01-03 14', '2018-01-03 15', '2018-01-03 19', '2018-01-03 20', '2018-01-04 18']","[25510, 7951, 29218, 48759, 25195, 33346, 37060, 43069, 43941, 22303, 18390, 42896, 35755, 11416, 15355, 35244, 8094, 42933, 6585, 42373, 45710, 32892, 3105, 18614, 12986, 3024, 28358, 51915, 10065, 17775]",wk5NT708pBNID+ROJkGIIZokfA8hUC2eTFWTdY1o9Nk=,34814.0,"[29361, 12979, 31001, 28154, 3068, 30042, 30938, 30041, 34165, 29903, 30955, 20671, 44171, 30936, 28153, 28145, 30952, 12384, 46925, 30945, 48603, 11170, 22796, 11176, 29952, 23034, 30938, 30041, 29962, 29937, 30011, 30039, 29247, 34655, 38178, 37461, 14130, 30945, 30937, 30040, 29991, 30955, 34255, 46522, 30945, 30041, 33889, 29858, 30955, 30889]"
"['2017-12-05 18', '2017-12-06 22', '2017-12-08 08', '2017-12-08 08', '2017-12-08 18', '2017-12-08 19', '2017-12-08 22', '2017-12-09 10', '2017-12-09 15', '2017-12-11 19', '2017-12-11 19', '2017-12-12 08', '2017-12-12 18', '2017-12-13 18', '2017-12-13 18', '2017-12-14 08', '2017-12-14 19', '2017-12-15 18', '2017-12-15 18', '2017-12-15 19', '2017-12-17 15', '2017-12-18 19', '2017-12-19 08', '2017-12-19 18', '2017-12-20 08', '2017-12-20 08', '2017-12-20 18', '2017-12-20 19', '2017-12-21 08', '2017-12-21 18', '2017-12-21 18', '2017-12-21 18', '2017-12-22 08', '2017-12-22 08', '2017-12-22 19', '2017-12-22 19', '2017-12-23 14', '2017-12-26 08', '2017-12-27 08', '2017-12-27 22', '2017-12-28 14', '2017-12-29 08', '2017-12-29 15', '2017-12-31 14', '2017-12-31 15', '2017-12-31 15', '2017-12-31 16', '2017-12-31 16', '2018-01-02 18', '2018-01-02 18']","[38493, 34379, 33880, 39679.0, 50287, 47353, 44190, 25131, 3088, 3717, 12036, 34747, 6362, 37253, 29108, 29848, 13174, 16668, 2693, 12711, 43807, 1273, 52922, 33485, 32399, 29460, 34964, 19238, 18119.0, 47600]",b2+iFWHpkCGFTLdvpqFvoX6t65Fg939uKZIJqCWoNvw=,29106.0,"[24162, 29662, 24147, 29375, 24125, 29247, 29815, 29406, 43749, 24172, 29706, 29366, 24125, 24241, 24332, 29433, 24241, 24198, 24335, 29678, 34812, 24241, 29383, 24265, 8755, 29383, 24251, 29520, 29745, 24218, 30022, 29573, 29765, 24144, 29578, 24194, 32949, 29413, 8755, 29772, 50879, 24121, 7103, 8995, 19142, 19142, 19147, 19143, 24335, 24239]"
"['2017-12-17 21', '2017-12-18 14', '2017-12-18 14', '2017-12-19 12', '2017-12-19 13', '2017-12-19 19', '2017-12-20 17', '2017-12-20 17', '2017-12-20 17', '2017-12-20 21', '2017-12-21 19', '2017-12-22 09', '2017-12-22 14', '2017-12-22 16', '2017-12-23 12', '2017-12-23 12', '2017-12-23 13', '2017-12-23 14', '2017-12-23 15', '2017-12-23 18', '2017-12-23 19', '2017-12-23 19', '2017-12-23 20', '2017-12-23 20', '2017-12-23 22', '2017-12-24 10', '2017-12-24 10', '2017-12-24 11', '2017-12-24 12', '2017-12-25 18', '2017-12-25 18', '2017-12-25 18', '2017-12-25 18', '2017-12-26 12', '2017-12-26 13', '2017-12-26 14', '2017-12-26 18', '2017-12-26 18', '2017-12-26 18', '2017-12-27 17', '2017-12-27 17', '2017-12-27 20', '2017-12-28 08', '2017-12-28 11', '2017-12-28 13', '2017-12-29 12', '2017-12-29 12', '2017-12-29 12', '2017-12-29 13', '2017-12-29 13']","[50786, 35448, 51794, 20643, 43153, 11623, 24353, 14240, 27018, 27516.0, 21285, 39541, 30670, 29472, 24121, 27285, 12445, 25487, 47017, 40756, 17932, 18370, 44496, 35082, 3491, 33981, 38477, 29572, 28121, 5864]",pqKV9+CrQkPTZV+vgDWDjhRXNtr0NF5VcUwsvY0IHw8=,42505.0,"[23935, 21288, 15740, 44184, 16240, 50001, 35033, 35035, 34941, 35119, 26649, 31513, 33340, 8163, 18669, 18650, 18648, 18656, 20847, 34778, 52408, 52408, 48970, 34864, 8164, 48004, 47919, 47872, 47944, 35863, 26437, 47872, 42507, 39030, 50231, 17809, 47317, 42465, 42468, 34941, 28074, 34954, 31513, 5182, 5112, 47872, 47845, 47886, 47944, 47869]"
"['2017-12-19 23', '2017-12-20 06', '2017-12-20 20', '2017-12-20 20', '2017-12-20 20', '2017-12-20 21', '2017-12-21 20', '2017-12-21 20', '2017-12-21 20', '2017-12-22 06', '2017-12-22 06', '2017-12-22 20', '2017-12-22 21', '2017-12-23 06', '2017-12-23 16', '2017-12-23 16', '2017-12-23 16', '2017-12-23 20', '2017-12-23 21', '2017-12-24 12', '2017-12-24 12', '2017-12-24 21', '2017-12-25 13', '2017-12-27 06', '2017-12-27 20', '2017-12-27 21', '2017-12-27 21', '2017-12-27 21', '2017-12-28 06', '2017-12-28 06', '2017-12-28 06', '2017-12-28 07', '2017-12-28 20', '2017-12-28 21', '2017-12-28 21', '2017-12-29 06', '2017-12-29 21', '2017-12-29 22', '2017-12-29 22', '2017-12-30 06', '2017-12-30 07', '2017-12-30 17', '2017-12-30 17', '2017-12-31 12', '2018-01-02 20', '2018-01-03 06', '2018-01-03 20', '2018-01-03 20', '2018-01-04 06', '2018-01-04 06']","[33024, 2700, 36050, 42022, 48143, 31083, 7443, 30730, 6073, 46936, 39892, 3048, 24181, 40904, 28646, 51205, 45919, 30918, 11065, 34873, 38724, 20674, 35091, 8912, 33095, 47928, 13642, 34501, 50523, 33085]",bQIqAd+66VRJJvy9qcqRyKroB1lu+ONNh0/BiPROgg4=,31039.0,"[27956, 31137, 31038, 31085, 31058, 4449, 31004, 27051, 31030, 31138, 31084, 31030, 31057, 31137, 31004, 31030, 31086, 25312, 30777, 47642, 24518, 20552, 49543, 31139, 31030, 31057, 31004, 31092, 31055, 31137, 31149, 27062, 31030, 31004, 31136, 31137, 31030, 31057, 31004, 31138, 27062, 31030, 31057, 891, 31030, 31137, 31092, 31030, 31138, 31002]"
"['2017-12-26 15', '2017-12-26 15', '2017-12-26 16', '2017-12-26 21', '2017-12-26 21', '2017-12-26 21', '2017-12-26 22', '2017-12-27 16', '2017-12-27 21', '2017-12-27 21', '2017-12-27 21', '2017-12-27 21', '2017-12-27 22', '2017-12-27 22', '2017-12-28 17', '2017-12-28 23', '2017-12-28 23', '2017-12-29 16', '2017-12-29 16', '2017-12-29 22', '2017-12-29 22', '2017-12-29 22', '2017-12-30 10', '2017-12-30 10', '2017-12-30 10', '2017-12-30 18', '2017-12-30 18', '2017-12-30 23', '2017-12-30 23', '2017-12-30 23', '2017-12-30 23', '2018-01-01 23', '2018-01-02 15', '2018-01-02 15', '2018-01-02 15', '2018-01-02 16', '2018-01-02 18', '2018-01-02 22', '2018-01-03 12', '2018-01-03 16', '2018-01-03 16', '2018-01-03 16', '2018-01-03 16', '2018-01-03 16', '2018-01-03 17', '2018-01-03 20', '2018-01-03 20', '2018-01-03 23', '2018-01-04 15', '2018-01-04 21']","[32566, 3942, 5494, 27078, 44083, 38678, 15360, 48365, 25136, 16090, 49124, 37324, 24171, 34659.0, 25378, 49118, 13545, 17964, 3106, 24087, 1136, 18220, 31240, 33340, 48899, 18754, 19116, 13394, 48438, 2346]",BbjgfRt2/V71XLbYswp34ZNSi3C/jA45LPu8V5gcZHI=,42745.0,"[30596, 30597, 30591, 30631, 30587, 30649, 30593, 31120, 31064, 31053, 31082, 35110, 15730, 31117, 30595, 30626, 30774, 31121, 34582, 31064, 31088, 31053, 29195, 29192, 42617, 28154, 28072, 30594, 30650, 30587, 30588, 48110, 30652, 30591, 30597, 42097, 30720, 7119, 29198, 31091, 31087, 31038, 29218, 29076, 3069, 30768, 30767, 30594, 30597, 30605]"
"['2017-12-23 13', '2017-12-23 17', '2017-12-23 18', '2017-12-23 18', '2017-12-23 18', '2017-12-23 18', '2017-12-23 19', '2017-12-23 19', '2017-12-23 20', '2017-12-23 23', '2017-12-25 13', '2017-12-26 14', '2017-12-26 14', '2017-12-26 21', '2017-12-27 13', '2017-12-27 13', '2017-12-27 14', '2017-12-27 14', '2017-12-27 22', '2017-12-27 22', '2017-12-27 22', '2017-12-28 14', '2017-12-28 15', '2017-12-28 23', '2017-12-28 23', '2017-12-29 00', '2017-12-29 00', '2017-12-29 00', '2017-12-29 00', '2017-12-29 15', '2017-12-30 12', '2017-12-30 14', '2017-12-30 14', '2017-12-30 14', '2017-12-30 14', '2017-12-30 15', '2017-12-30 20', '2017-12-30 20', '2017-12-30 20', '2017-12-30 20', '2017-12-30 20', '2017-12-30 20', '2017-12-31 19', '2017-12-31 20', '2018-01-02 14', '2018-01-02 14', '2018-01-02 22', '2018-01-02 22', '2018-01-03 08', '2018-01-03 14']","[36718, 53819, 16958, 43236, 23407, 40101, 8069, 1514, 4588, 14233, 37938, 47332, 18335, 41492, 39835, 28646, 2833, 15542, 5070, 46941, 29902, 29907, 23078, 8645, 38567, 13427, 8230, 25173, 4611, 4519]",askB7TJHoG+Ek6gwxuQbzlw7dxV7qcAf+NuZd1Lc4/g=,28175.0,"[43908, 28112, 29941, 32157, 13578, 29360, 13574, 13578, 20363, 47643, 29941, 29939, 29540, 29825, 29877, 29856, 29812, 29605, 32157, 29350, 29825, 4083, 46720, 24113, 24272, 30020, 30019, 24113, 30018, 46720, 42509, 35064, 28475, 34786, 34768, 35171, 31088, 28469, 31064, 31053, 31000, 28475, 39115, 49402, 29940, 29941, 32157, 29941, 7322, 29940]"
"['2017-12-28 18', '2017-12-28 18', '2017-12-28 18', '2017-12-28 18', '2017-12-28 18', '2017-12-29 15', '2017-12-29 15', '2017-12-29 15', '2017-12-29 15', '2017-12-29 17', '2017-12-29 17', '2017-12-29 22', '2017-12-29 23', '2017-12-30 02', '2017-12-30 12', '2017-12-30 13', '2017-12-31 17', '2017-12-31 22', '2017-12-31 22', '2018-01-01 00', '2018-01-01 01', '2018-01-01 01', '2018-01-01 02', '2018-01-01 13', '2018-01-01 14', '2018-01-01 14', '2018-01-01 16', '2018-01-01 18', '2018-01-01 18', '2018-01-02 00', '2018-01-02 14', '2018-01-02 16', '2018-01-02 19', '2018-01-03 08', '2018-01-03 08', '2018-01-03 09', '2018-01-03 09', '2018-01-03 11', '2018-01-03 14', '2018-01-03 16', '2018-01-03 18', '2018-01-03 18', '2018-01-03 18', '2018-01-03 19', '2018-01-03 19', '2018-01-03 22', '2018-01-04 09', '2018-01-04 10', '2018-01-04 10', '2018-01-04 10']","[33280, 9422, 10691, 21787, 21296, 48565, 43135, 8855, 24060, 27345, 40690, 26503, 12666, 47277, 18545, 49575, 18024, 9408, 35649, 26524, 22379, 11494, 52554, 28055.0, 48472, 22936, 12507, 6399, 7205, 34298]",+10mr5XAP+Bj3c/gv+WOatr0GiuarDCrF2vmuKoJAdQ=,10954.0,"[8921, 28644, 42673, 28498, 16253, 3039, 3220, 30387, 30273, 1298, 15986, 6073, 20604, 2105, 3220, 3220, 32673, 45010, 49504, 28146, 27997, 9874, 3220, 3220, 2145, 48208, 49922, 52739, 52732, 3220, 2105, 24909, 43838, 30681, 12624, 10875, 6459, 11004, 34373, 34373, 21175, 17715, 52891, 12657, 9294, 3220, 27997, 27953, 47299, 7660]"
"['2017-12-19 08', '2017-12-19 08', '2017-12-19 08', '2017-12-19 08', '2017-12-19 08', '2017-12-19 08', '2017-12-19 20', '2017-12-20 20', '2017-12-21 08', '2017-12-22 08', '2017-12-22 08', '2017-12-22 08', '2017-12-22 09', '2017-12-22 09', '2017-12-22 11', '2017-12-22 14', '2017-12-22 14', '2017-12-22 18', '2017-12-22 19', '2017-12-22 19', '2017-12-23 08', '2017-12-23 09', '2017-12-23 11', '2017-12-23 11', '2017-12-23 12', '2017-12-23 12', '2017-12-23 12', '2017-12-23 12', '2017-12-23 12', '2017-12-23 13', '2017-12-23 13', '2017-12-23 13', '2017-12-23 13', '2017-12-24 20', '2017-12-24 20', '2017-12-25 10', '2017-12-25 20', '2017-12-26 08', '2017-12-27 08', '2017-12-28 20', '2017-12-28 20', '2017-12-29 11', '2017-12-29 16', '2017-12-29 17', '2017-12-30 12', '2017-12-30 16', '2017-12-31 11', '2017-12-31 15', '2017-12-31 15', '2017-12-31 15']","[33576, 29891, 7050, 15349, 28962, 15962, 3459, 29306, 49622, 28846, 3495, 8841, 48438, 16257, 30763, 50240, 24943, 24296, 9478, 52697, 48178, 24701, 12311, 52549, 35042, 40746, 20652, 38102, 6921, 22173]",y0QCnxKT8Ys5n2FCw0AoGttKOHf1+9FUSW4VqkZgEpA=,10966.0,"[35550, 20644, 8413, 20644, 20644, 8413, 35564, 10733, 3514, 35033, 35033, 27981, 35033, 35033, 37416, 4246, 4246, 4283, 2168, 4288, 32705, 13559, 9757, 9756, 390, 391, 9757, 390, 9756, 11026, 22207, 391, 11028, 35552, 35564, 43908, 35551, 11026, 34437, 10733, 35552, 32361, 3942, 43944, 32361, 32367, 32361, 2156, 36064, 49459]"
"['2017-12-01 13', '2017-12-01 14', '2017-12-01 14', '2017-12-01 15', '2017-12-01 17', '2017-12-01 17', '2017-12-01 19', '2017-12-04 13', '2017-12-04 19', '2017-12-05 07', '2017-12-05 13', '2017-12-05 19', '2017-12-05 19', '2017-12-06 08', '2017-12-06 14', '2017-12-06 18', '2017-12-06 18', '2017-12-06 19', '2017-12-07 10', '2017-12-07 11', '2017-12-11 11', '2017-12-11 19', '2017-12-11 19', '2017-12-12 19', '2017-12-13 19', '2017-12-13 19', '2017-12-13 19', '2017-12-14 20', '2017-12-15 18', '2017-12-15 18', '2017-12-18 19', '2017-12-18 19', '2017-12-18 19', '2017-12-19 07', '2017-12-19 08', '2017-12-19 19', '2017-12-20 19', '2017-12-21 18', '2017-12-22 07', '2017-12-27 07', '2017-12-27 08', '2017-12-27 18', '2017-12-28 17', '2017-12-28 18', '2017-12-28 18', '2017-12-28 21', '2017-12-29 07', '2017-12-29 08', '2017-12-29 14', '2017-12-29 17']","[28141, 8161, 30856, 23711, 28155, 49489, 38271, 44501, 42681, 43358, 24133, 52678, 30096, 10948, 40734, 49566, 34937, 2988, 48813, 37309, 49329, 49421, 28336, 23339, 53202, 12758, 38067, 42564, 10575, 36938]",KC0OgynEXJAysuxy4Ky1J4anA2kTBn3Nm1gpb0lAty0=,27977.0,"[28486, 18525, 48774, 18567, 18532, 18533, 18540, 39835, 11845, 7378, 42020, 11845, 24334, 27837, 17241, 24337, 24067, 11845, 11778, 24253, 27837, 11785, 11845, 24362, 24065, 11845, 24337, 27978, 24337, 11845, 11845, 24272, 24337, 46928, 27837, 11845, 24337, 34888, 47089, 47090, 18094, 44753, 31072, 49469, 34425, 5182, 46927, 27837, 34306, 39575]"
"['2017-12-08 20', '2017-12-08 21', '2017-12-08 21', '2017-12-09 11', '2017-12-15 12', '2017-12-15 19', '2017-12-16 09', '2017-12-16 09', '2017-12-16 10', '2017-12-16 11', '2017-12-16 11', '2017-12-16 14', '2017-12-16 14', '2017-12-16 14', '2017-12-16 14', '2017-12-16 14', '2017-12-16 14', '2017-12-16 14', '2017-12-16 14', '2017-12-19 21', '2017-12-20 08', '2017-12-20 09', '2017-12-20 13', '2017-12-20 13', '2017-12-20 18', '2017-12-21 09', '2017-12-21 10', '2017-12-21 10', '2017-12-21 12', '2017-12-21 13', '2017-12-21 22', '2017-12-22 16', '2017-12-22 19', '2017-12-22 20', '2017-12-22 20', '2017-12-22 20', '2017-12-22 20', '2017-12-22 20', '2017-12-22 20', '2017-12-22 20', '2017-12-23 14', '2017-12-24 12', '2017-12-26 15', '2017-12-26 20', '2017-12-26 20', '2017-12-26 20', '2017-12-26 21', '2017-12-27 11', '2017-12-27 12', '2017-12-27 12']","[2217, 6069, 43206, 50585, 33544, 10069, 30160, 50914, 29392, 37455, 30418, 51222, 44776, 5194, 42561, 25563, 4806, 38726, 6534, 16844, 14125, 26698, 16160, 14657, 41943, 23345, 35243, 51782, 32176, 29456]",ylzhTVuoojINntw9iU4Zu40lLBEggR6stQAyDFnS1xE=,34715.0,"[18292, 18292, 18292, 49367, 39799, 16694, 42914, 42778, 49367, 42780, 42778, 18290, 18290, 18290, 18290, 18290, 18290, 18292, 18296, 11843, 24362, 49479, 49479, 49479, 11843, 42780, 42914, 42780, 48967, 48967, 11843, 32518, 11846, 18292, 18292, 18296, 18290, 18290, 18292, 18290, 50756, 52116, 32518, 11846, 11843, 11845, 44274, 5767, 49298, 5767]"
